Property        ,Key                  ,Mean        ,Standard Error of Mean
density         ,Box 2 Density Mean   ,0.892765    ,0.016794              
density         ,Box 1 Density Mean   ,3.056644    ,0.016692              
density         ,High Density Mean    ,3.078786    ,0.021424              
density         ,Low Density Mean     ,0.832582    ,0.018779              
pressure above threshold,Box 2 Density Mean   ,3399.458187 ,16.019229             
pressure above threshold,Box 1 Density Mean   ,3401.782563 ,31.160397             
pressure above threshold,High Density Mean    ,3306.496250 ,47.475879             
pressure above threshold,Low Density Mean     ,3394.231000 ,22.922073             
compressibility above threshold,Box 2 Density Mean   ,0.530384    ,0.007618              
compressibility above threshold,Box 1 Density Mean   ,0.146957    ,0.000779              
compressibility above threshold,High Density Mean    ,0.142470    ,0.001321              
compressibility above threshold,Low Density Mean     ,0.548753    ,0.007821              
